이름,전화번호 
양천서 경무계 복지,경비 107
양천서 경무계 보안,경비 590
양천서 경리계장,02-2093-8222/경비 222
양천서 경리계,02-2093-8322/경비 322
양천서 경리계 예산,경비 109
양천서 경리계 용도,경비 110
양천서 경리계 시설,경비 111
양천서 경리계 세출입,경비 113
양천서 경리계 국유재산,경비 114
양천서 정보화장비계장,02-2093-8241/경비 241
양천서 정보화장비게,02-2093-8200/경비 200
양천서 정보화장비계 유무선,경비 500
양천서 정보화장비계 차량,경비 118
양천서 정보화장비계 피복,경비 115
양천서 정보화장비계 전산,경비 800
양천서 정보화장비계 운전,경비 116
양천서 정보화장비계 유지보수,경비 599
양천서 범죄예방대응과장,02-2093-8229/경비 229
양천서 범죄예방계장,02-2093-8246/246
양천서 범죄예방계 서무,경비 150
양천서 범죄예방계 경비업,경비 151
양천서 범죄예방계 성과,경비 152
양천서 범죄예방계 CPO 1,경비 153
양천서 범죄예방계 CPO 2,경비 154
양천서 범죄예방계 112,경비 155
양천서 범죄예방계 지역경찰,경비 330
양천서 범죄예방계 통합관제센터,02-2093-8542/경비 542
양천서 범죄예방계,02-2093-8346/경비 346
양천서 범죄질서계장,02-2093-8247/경비 247
양천서 범죄예방질서계 총포,경비 159
양천서 범죄예방질서계 즉심,경비 157
양천서 범죄예방질서계 풍속,경비 158
양천서 범죄예방질서계 유실물,경비 156
양천서 범죄예방질서계(유실물/풍속/총포),02-2093-8347/경비 347
양천서 112 상황실 상황관리관,02-2093-8225/경비 225
양천서 112 상황실 상황팀장,02-2093-8228/경비 228
양천서 112 상황실 상황,02-2093-8329/경비 329
양천서 112 상황실 지령,02-2093-8341/경비 341
양천서 여성청소년과장,02-2093-8243/경비 243
양천서 여성보호계 여성보호계장,02-2093-8248/경비 248
양천서 여성보호계 서무,경비 406
양천서 여성보호계 수사서무,경비 377
양천서 여성보호계 민원,경비 449
양천서 여성보호계 성폭력,경비 450
양천서 여성보호계 스토킹,경비 455
양천서 여성보호계 APO 1,경비 407
양천서 여성보호계 APO 2,경비 441
양천서 여성보호계 APO 3,경비 409
양천서 여성보호계 APO 4,경비 402
양천서 여성보호계 피전팀 1,경비 177
양천서 여성보호계 피전핌 2,경비 401
양천서 여성보호계 신상 1,경비 447
양천서 여성보호계 신상 2,경비 451
양천서 여성보호계,02-2093-8348/경비 348
양천서 여성보호계 청소년보호계장,02-2093-8413/경비 413
양천서 여성보호계,02-2093-8378/경비 378
양천서 여성보호계 SPO서무,경비 442
양천서 여성보호계 SPO 1,경비 403
양천서 여성보호계 SPO 2,경비 405
양천서 여성보호계 SPO 3,경비 408
양천서 여성보호계 SPO 4,경비 404
양천서 여성보호계 SPO 5,경비 430
양천서 여청수사팀,02-2093-8349/경비 349
양천서 여청수사팀 수사1팀장,경비 417
양천서 여청수사팀 수사1팀,경비 410/420
양천서 여청수사팀 수사2팀장,경비 416
양천서 여청수사팀 수사2팀,경비 452/453
양천서 여청수사팀 수사3팀장,경비 454
양천서 여청수사팀 수사3팀,경비 418/419
양천서 여청수사팀 수사4팀장,경비 422
양천서 여청수사팀 수사4팀,경비 415/425
양천서 여청수사팀 수사5팀장,경비 488
양천서 여청수사팀 수사5팀,경비 326/327
양천서 수사1과장,02-2093-8263/경비 263
양천서 수사지원팀 수사지원팀장,02-2093-8266/경비 266
양천서 수사지원팀,02-2093-8366/경비 366
양천서 수사지원팀 서무,경비165
양천서 수사지원팀 기록물,경비 164
양천서 수사지원팀 송치,경비 166
양천서 수사지원팀 수사지원,경비 167
양천서 수사지원팀 예산,경비 168
양천서 수사지원팀 kics,경비 169
양천서 수사지원팀 정보공개,경비 179
양천서 수사지원팀 호송출장소,02-2093-8585/경비 585
양천서 유치관리 유치서무,02-2093-8582/경비 582
양천서 유치관리 유치장,경비 853/854
양천서 통합수사 수사당직(사이버),02-2093-8552/02-2093-8560/경비 552/560
양천서 수사1팀장,02-2093-8331/경비 331
양천서 수사1팀,02-2093-8337/경비 337
양천서 수사2팀장,02-2093-8332/경비 332
양천서 수사2팀,02-2093-8338/경비 338
양천서 수사3팀장,02-2093-8333/경비 333
양천서 수사3팀,02-2093-8339/경비 339
양천서 수사4팀장,02-2093-8334/경비 334
양천서 수사4팀,02-2093-8340/경비 340
양천수 수사5팀장,02-2093-8335/경비 335
양천서 수사5팀,02-2093-8344
양천서 수사6팀장,02-2093-8336/경비 336
양천서 수사6팀,02-2093-8345/경비 345
양천서 수사2과장,02-2093-8265/경비 265
양천서 지능1팀장,02-2093-8267/경비 267
양천서 지능1팀,02-2093-8367/경비 367
양천서 지능2팀장,02-2093-8268/경비 268
양천서 지능2팀,02-2093-8367/경비 367
양천서 수사7팀장,02-2093-8363/경비 363
양천서 수사7팀,02-2093-8387/경비 387
양천서 수사8팀장,02-2093-8364/경비 364
양천서 수사8팀,02-2093-8388/경비 388
양천서 형사과장,02-2093-8270/경비 270
양천서 형사지원팀,02-2093-8371/경비 371
양천서 형사지원팀장,경비 275
양천서 형사지원팀 서무,경비 175
양천서 형사지원팀 종합조회실,02-2093-8202/경비 202/203
양천서 형사팀(형사당직/형사데스크),02-2093-8372
양천서 형사데스크,경비 373
양천서 형사당직,경비 372
양천서 형사1팀장,02-2093-8271/겹비 271
양천서 형사1팀,02-2093-8471/경비 471
양천서 형사2팀장,02-2093-8272/경비 272
양천서 형사3팀장,02-2093-8273/경비 273
양천서 형사3팀,02-2093-8473/경비 473
양천서 형사4팀장,02-2093-8274/경비 274
양천서 형사4팀,02-2093-8474/경비 474
양천서 강력1팀장,02-2093-8481/경비 481
양천서 강력1팀,02-2093-8491/경비 491
양천서 강력2팀장(피싱),02-2093-8483/경비 483
양천서 강력2팀(피싱),022093-8493/경비 493
양천서 강력3팀장,02-2093-8482/경비 482
양천서 강력3팀,02-2093-8492/경비 492
양천서 강력4팀장,02-2093-8484/경비 484
양천서 강력4팀,02-2093-8494/경비 494
양천서 걍력5팀장,02-2093-8485/경비 485
양천서 강력5팀,02-2093-8495/경비 495
양천서 강력6팀장,02-2093-8486/경비 486
양천서 강력6팀,02-2093-8496/경비 496
양천서 실종수사팀장,02-2093-8262/경비 262
양천서 실종수사팀,02-2093-8362/경비 362
양천서 경비안보과장,02-2093-8255/경비 255
양천서 경비작전계장,02-2093-8256/경비 256
양천서 경비작전계,02-2093-8257/경비 257
양천서 경비작전계 서무,경비 131
양천서 안보계장,02-2093-8291/경비 291
양천서 안보계,02-2093-8391/경비 391
양천서 안보계 서무,경비 195
양천서 신변보호팀장,02-2093-8192/경비 192
양천서 신변보호팀,02-2093-8395/경비 395
양천서 교통과장,02-2093-8250/경비 250
양천서 교통관리계장,02-2093-8355/경비 355
양천서 교통관리계,02-2648-0032/경비 356
양천서 교통관리계 서무,경비 142
양천서 교통관리계 과태료,경비 143
양천서 교통관리계 행정처분,경비 145
양천서 교통관리계 범법,경비 146
양천서 교통관리계 국제면허,경비 147
양천서 교통관리계 영치,경비 149
양천서 교통관리계 신문고,경비 357
양천서 교통관리계 국민제보,경비 358
양천서 교통조사계,02-2093-8351/경비 351
양천서 교통조사계 조사당직팀장,경비 251
양천서 교통조사계 서무,경비 140
양천서 교통범죄수사 수사팀장,02-2093-8489/경비 489
양천서 교통범죄수사 범죄수사팀,02-2093-8499/경비 499
양천서 교통안전계장,02-2093-8252/경비 252
양천서 교통안전계,02-2093-8352/경비 352
양천서 교통안전계 서무,경비 136
양천서 교통정보센터,02-2093-8545/경비 545
양천서 목1지구대 지구대장,02-879-8811/경비 811
양천서 목1지구대 팀장,경비 812
양천서 목1지구대 대표전화,경비 301
양천서 목1지구대 상황,경비 815/816
양천서 목1지구대,02-2648-0040
양천서 목1지구대 관리,02-879-8813/02-879-8814/경비 813/814
양천서 목2지구대 지구대장,02-879-8821/경비 821
양천서 목2지구대,02-2056-0112
양천서 목2지구대 대표전화,경비 302
양천서 목2지구대 팀장,경비 822
양천서 목2지구대 상황,경비 825/826
양천서 목2지구대 관리,02-879-8823/02-879-8824/경비 823/824
양천서 신정1지구대 지구대장,02-879-8831/경비 831
양천서 신정1지구대,02-2643-0113
양천서 신정1지구대 대표전화,경비 303
양천서 신정1지구대 팀장,경비 832
양천서 신정1지구대 상황,경비 835/836
양천서 신정1지구대 관리,02-879-8833/02-879-8834/경비 833/834
양천서 신정2지구대 지구대장,02-879-8841/경비 841
양천서 신정2지구대,02-2699-0678
양천서 신정2지구대 대표,경비 304
양천서 신정2지구대 팀장,경비 842
양천서 신정2지구대 상황,경비 845/846
양천서 신정2지구대 관리,02-879-8843/02-879-8844/경비 843/844
양천서 신월2지구대 지구대장,02-879-8851/경비 851
양천서 신월2지구대,02-2608-0112/경비 305
양천서 신월2지구대 팀장,경비 852
양천서 신월2지구대 상황,855/856
양천서 신월2지구대 관리,02-879-8853/02-879-8854/경비 853/854
양천서 신정3파출소 파출소장,02-879-8861/경비 861
양천서 신정3파출소 대표전화,경비 312
양천서 신정3파출소 팀장,경비 862
양천서 신정3파출소 상황,경비 865/866
양천서 신정3파출소 관리,02-879-8863/02-879-8864/경비 863/864
양천서 신월1파출소 파출소장,02-879-8871/경비 871
양천서 신월1파출소,02-2602-0092
양천서 신월1파출소 대표,경비 311
양천서 신월1파출소 팀장,경비 872
양천서 신월1파출소 상황,경비 875/876
샹천서 신월1파출소 관리,02-879-8873/02-879-8874/경비 873/874
양천서 신월5파출소 파출소장,02-879-8881/경지 881
양천서 신월5파출소,02-2693-0113
양천서 신월5파출소 대표,경비 313
양천서 신월5파출소 팀장,경비 882
양천서 신월5파출소 상황,경비 885/886
양천서 신월5파출소 관리,02-879-8884/경비 884
양천서 신림7치안센터,02-879-8895/경비 895
양천서 직장협의회,경비 215
양천서 현과,경비 601
양천서 정무,경비 602
양천서 열린누리터,경비 604
양천서 어울마당,경비 605
양천서 체력단련장,경비 606
양천서 다정원조리실,경비 607
양천서 다정원,02-2093-8589/경비 589
양천서 기관실,02-2093-8201/경비 201
양천서 세심천,경비 608
양천서 피복고,경비 609
양천서 증거물관리실,경비 610
양천서 주무관휴게실,경비 611
양천서 당직팀장휴게실,경비 612
양천서 당직휴게실,경비 613
양천서 여직원휴게실,경비 614
양천서 경우회,02-2648-0077/경비 615
양천서 경우화대서호,02-2062-9997/경비 616
양천서 청소년휵성회,02-2647-7000/경비 617
양천서 경목실,02-2647-5298/경비 618
양천서 경승실,경비 619
양천서 경신실,623
양천서 상담변호사,02-2093-8130
서울청 광역정보7팀장/경비,7-6524
서울청 광역정보7팀 서무/경비,7-6533
양천소방서,02-2655-1119
213여단,031-449-4113
경찰법무팀,02-3150-0365
경찰병원 예약,02-3400-1750
경찰청 교통기회계,02-3150-2251
경찰청 치안상황관리,02-3150-0952
까치산지구대,02-2604-5053
나라배움터,02-500-8666
목동4단지관리사무소,02-2647-0898
목동4단지아파트 기계실,02-2642-7804
경찰청 112시스템,02-3150-0952
특허청 상표법위반수사,02-568-9033
수방사,02-524-0335
양천 정신건강복지센터,02-2061-8881
정신건강복지센터(양천구 보건소;자살),02-2061-8881/02-2061-8882/02-2061-8883
양천구청 보건위생과,02-2620-4880
양천구청 보건행정과,02-2620-3847
양천구청 유기견관리팀,02-2620-4820
양천구청 주택과,02-2620-3530
양천구청 주차관리과,02-2620-3745
서울아산병원(정신질환자 협업),1688-7575
김포다은병원(정신질환자 협업),031-996-1338
연세서울병원(정신질환자 협업),031-907-9920
W진병원(정신질환자 협업),1577-1581
연세하늘병원(정신질환자 협업),031-836-7341
해상병(정신질환자 협업),02-844-6119
부천사랑병(정신질환자 협업),032-678-0114
건국대학병(정신질환자 협업),02-2030-5555
라엘마음병(정신질환자 협업),031-978-5454
백암정신병(정신질환자 협업),031-332-3194
고양정신병(정신질환자 협업),031-969-0885
축령정신병(정신질환자 협업),031-591-1832
강동성심병원(자살기도자 응급실/생명사랑센터),02-2224-2358/02-2224-2499
상계백병(자살지도자 응급실/생명사랑센터),02-950-1119/02-950-1810
한일병(자살지도자 응급실/생명사랑센터),02-901-3119/010-8689-3578
경희대병(자살지도자 응급실/생명사랑센터),02-958-8114/02-6405-0119
한양대병(자살지도자 응급실/생명사랑센터),02-2290-8114/02-2290-9823
고대안암병(자살지도자 응급실/생명사랑센터),02-920-5786/02-920-5349
서울의료(자살지도자 응급실/생명사랑센터),02-2276-7000/02-2276-7142
을지대병(자살지도자 응급실/생명사랑센터),02-970-8282/010-7586-4220
서울아산병(자살지도자 응급실/생명사랑센터),02-3010-3333/010-7205-3410
강남세브란스병(자살지도자 응급실/생명사랑센터),02-2019-3333/02-2019-8788
서울삼성병(자살시도자),02-3410-0129/02-3410-6726
연세세브란스병(자살시도자 응급실/생명사랑센터),02-2227-7777/02-2228-7028
순천향대서울병(자살시도자 응급실/생명사랑센터),02-709-9117/02-710-3290
은평성모병(자살시도자 응급실/생명사랑센터),1811-7755/02-2030-3467
서울대병(자살시도자 응급실/생명사랑센터),02-2072-2475/010-6642-5252
국립의료(자살시도자 응급실/생명사랑센터),02-2260-7114/02-2276-2077
중앙대병(자살시도자 응급실/생명사랑센터),02-6299-1339/010-4054-3878
보라매병원(자살시도자 응급실/생명사랑센터),02-870-2118/02-870-3075
이대목동병원,02-2650-5119/02-2650-2952
여의도성모병(자살시도자 응급실/생명사랑센터),1661-7575/02-3779-1886
강남성심병(자살시도자 응급실/생명사랑센터),02-829-5119/02-6960-1042
고대구로병(자살시도자 응급실/생명사랑센터),02-2626-1114/02-6464-8360
정신응급 합동대응센터(서울청/자살/응급입원),02-700-2912~3/010-7489-0794
스토킹피해자보호시설(여성/강남권),02-1366/010-5294-3344
스토킹 피해자 보호시설(여성/강북권),02-1366/010-3438-0187
스토킹피해자보호시설(남성/강북권),02-1366/02-2653-1366
보현의집(영등포 신길동 본사),02-2069-1600/02-2069-1601/02-2069-1602
한전 강서양천지사,02-2640-2211
건강보험공단 강서지사,02-2657-3121
서울양천우체국,02-2646-0014
서울목2동우편취급국,02-2647-9494
서울신월2동우체국,02-2692-0318
서울관악우체국,02-6911-0115
서울강서우체국,02-2660-8900
서울마포우체국,02-6901-7699
서울도봉우체국,02-3499-3600
서울광진우체국,02-2049-0550
서울구로우체국,02-6950-0599
서울노원우체국,02-950-3226
서울동작우체,02-822-0385
서울 영등포 경찰서 민원실,02-2118-9324
서울 영등포경찰서 교통민원실,02-2118-9121
서울 영등포경찰서 감사실,02-2118-9217
서울 영등포경찰서 112치안종합상황실,02-2118-9233
서울 영등포경찰서 경무계,02-2118-9321
서울 영등포경찰서 경리계,02-2118-9322
서울 영등포경찰서 정보화장비계,02-2118-9200
서울 영등포경찰서 범죄예방계,02-2118-9346
서울 영등포경찰서 범죄예방질서계,02-2118-9347
서울 영등포경찰서 여성청소년계,02-2118-9348
서울 영등포경찰서 여성청소년수사팀,02-2118-9349
서울 영등포경찰서 여성청소년강력팀,02-2118-9363
서울 영등포경찰서 수사지원팀,02-2118-9366
서울 영등포경찰서 유치관리계,02-2118-9487
서울 영등포경찰서 지능범죄수사팀,02-2118-9542
서울 영등포경찰서 전화사기전담팀,02-2118-9679
서울 영등포경찰서 통합수사11~13팀(사이버수사팀),02-2118-9522
서울 영등포경찰서 통합수사1팀(경제1팀),02-2118-9564
서울 영등포경찰서 통합수사2팀(수사2팀),02-2118-9570
서울 영등포경찰서 통합수사3팀(경제3팀),02-2118-9576
서울 영등포경찰서 통합수사4팀(경제4팀),02-2118-9582
서울 영등포경찰서 통합수사5팀(경제5팀),02-2118-9588
서울 영등포경찰서 통합수사6팀(경제6팀),02-2118-9594
서울 영등포경찰서 통합수사7팀(경제7팀),02-2118-9642
서울 영등포경찰서 통합수사8팀(경제8팀),02-2118-9644
서울 영등포경찰서 통합수사9팀(경제9팀),02-2118-9645
서울 영등포경찰서 통합수사10팀(집중수사팀),02-2118-9601
서울 영등포경찰서 과학수사팀,02-2118-9892
서울 영등포경찰서 형사당직팀,02-2118-9806
서울 영등포경찰서 형사1~5팀,02-2118-9806
서울 영등포경찰서 강력형사1~7팀,02-2118-9312
서울 영등포경찰서 마약전담수사팀,02-2118-9312
서울 영등포경찰서 피싱범죄수사팀,02-2118-9543
서울 영등포경찰서 실종수사팀,02-2118-9209
서울 영등포경찰서 경비작전계,02-2118-9258
서울 영등포경찰서 교통관리계,02-2118-9121/02-2118-9122
서울 영등포경찰서 교통사고조사계,02-2118-9351/02-2118-9133
서울 영등포경찰서 교통범죄수사팀,02-2118-9146
서울 영등포경찰서 교통안전계,02-2118-9352/02-2118-9154
서울 영등포경찰서 치안정보과,02-2118-9382
서울 영등포경찰서 안보지원계,02-2118-9661
서울 영등포경찰서 안보협력계,02-2118-9668
서울 구로서 청문민원관리팀,02-840-8324
서울 구로서 교통민원실,02-840-8350
서울 구로서 감사실,02-840-8217
서울 구로서 112치안종합상황실,02-864-0112
서울 구로서 경무계,02-840-8321
서울 구로서 경리계,02-840-8322
서울 구로서 정보화장비계,02-840-8200
서울 구로서 범죄예방계,02-840-8346
서울 구로서 범죄예방질서계,02-840-8347
서울 구로서 여성청소년계,02-840-8348
서울 구로서 여성청소년수사팀,02-840-8349
서울 구로서 여성청소년강력팀,02-840-8990
서울 구로서 수사지원팀,02-840-8366
서울 구로서 지능팀,02-840-8367
서울 구로서 수사1팀,02-840-8337
서울 구로서 수사2팀,02-840-8360
서울 구로서 수사3팀,02-840-8338
서울 구로서 수사4팀,02-840-8292
서울 구로서 수사5팀,02-840-8181
서울 구로서 수사6팀,02-840-8186
서울 구로서 수사7팀,02-840-8381
서울 구로서 수사8팀,02-840-8363
서울 구로서 수사9팀,02-840-8981
서울 구로서 수사10팀,02-840-8376
서울 구로서 형사지원팀,02-840-8371
서울 구로서 형사1팀,02-840-8296
서울 구로서 형사2팀,02-840-8295
서울 구로서 형사3팀,02-840-8297
서울 구로서 형사4팀,02-840-8298
서울 구로서 형사5팀,02-840-8336
서울 구로서 강력1팀,02-840-8331
서울 구로서 강력2팀,02-840-8332
서울 구로서 강력3팀,02-840-8333
서울 구로서 강력4팀 ,02-840-8334
서울 구로서 강력5팀,02-840-8335
서울 구로서 강력6팀,02-840-8330
서울 구로서 실종팀,02-840-8184
서울 구로서 경비작전계,02-840-8257
서울 구로서 안보계,02-840-8391
서울 구로서 교통안전계,02-840-8352
서울 구로서 교통관리계,02-840-8350
서울 구로서 교통조사계,02-840-8362
서울 강서서 청문민원실,02-2698-7000
종합조회실(서울강서경찰서),02-2620-9202/02-2620-9203
서울 강서서 면허행정처분,02-2620-9470
서울 강서서 면허갱신 등,02-2620-9459
서울 강서서 범칙금,02-2620-9458
서울 강서서 공익신고,02-2620-9465/02-2620-9468
서울 강서서 과태료체납(영치),02-2620-9400/02-2620-9463
서울 강서서 무인단속(과태료),02-2620-9464
서울 강서서 어린이통학버스,02-2620-9440
서울 강서서 청문감사관실,02-2620-9300
서울 강서서 경비작전계,02-2620-9258
서울 강서서 교통관리계,02-2620-9325
서울 강서서 교통안전계,02-2620-9252
강서도로사업소,02-3662-8853 /02-2657-7900
오목교 원룸텔(고시원/양천구),010-8708-5689
햇살가득한방고시텔(고시원/양천구),010-9316-3846
푸르지오리빙텔(고시원/양천구),010-5741-3515
푸른원룸텔(고시원/양천구),02-2602-4640
반딧불고시텔(고시원/양천구),02-6081-6700
한우리고시원(고시원/양천구),0507-1411-4144
아이비하우스(고시원/양천구),010-8362-5288
홈리빙텔고시원(고시원/양천구),02-2607-1295
상록스테이(고시원/양천구), 010-8131-0402
아이엘원룸텔(고시원/양천구),010-2584-0954
목동역원룸텔(고시원/양천구),010-9053-1193
블루빌고시텔(고시원/양천구),02-2604-6775
청솔원룸(고시원/양천구),010-5035-2660
신정2 목동현대아파트,02-2644-7692
신정2 목동삼성아파트,02-2651-5085/02-2654-9436
신정2지구대 청구아파트,02-2651-3519
신정2지구대 롯데캐슬아파트,02-2643-4047
신정2지구대 쌍용아파트,02-2653-6727
신정2지구대 신정대림아파트,02-2654-1077
신정2지구대 명지해뜨는터아파트,02-2643-5484
신정2지구대 신정동경남아너스빌,02-2643-5135
신정2지구대 신정동아이파크아파트,02-2651-3890
신정2지구대 유원목동아파트,02-2643-6751
신정2지구대 현대아파트,02-2653-1851
신정2지구대 신정동파인빌아파트,02-
신정2지구대 길훈로즈빌아파트,02-2654-4605
신정2지구대 반석목동블레스빌,02-2642-9448
신정2지구대 목동삼익아파트,02-2644-3247
신정2지구대 목동센트럴푸르지오아파트,02-2061-4087
신정2지구대 현대2차아파트,02-2653-0838
신정2지구대 목동청학아파트,02-2652-8310
신정2지구대 목동대림아파트,02-2649-0682
신정2지구대 현대하이페리온2차아파트,02-2640-1970
신정2지구대 진도아파트(1차),02-2648-1134
신정2지구대 목동아파트7단지 ,02-2646-2367
신정2지구대 건영아파트,02-2602-5725
신정2지구대 동원로데오아파트,070-4229-8639
신정2지구대 로데오휘버스아파트,02-2696-0157
신정2지구대 밀레스트아파트,02-2646-4745
신정2지구대 팰리스필아파트,02-2697-1997
신정2지구대 힐탑이루미아파트,02-2693-2934
신정2지구대 신정보람쉬움아파트,02-2608-5649
IBK기업은행(금융/양천구 신정동),02-2607-7104
경서농협(금융/양천구 신정동),02-2695-8334
우리은행(금융/양천구 신정동),02-2606-4021
수협개발(금융/양천구 신정동),02-2608-6212
신목신협본점(금융/양천구 신정동),02-2605-8176
국민은행(금융/양천구 신정동),02-2691-4017
SH수협은행  목동,02-2608-6211
JT친애저축은행 목동지점,1599-0060
SC제일은행 목동역점,02-2698-3361
NH농협은행(금융/양천구 신정동),02-2699-1575
씨티은행(금융/양천구 목동),02-2654-5726
신한은행(금융/양천구 목동),02-2062-7810
경서농협 신목지점(금융/양천구 목동),02-2061-7171
신목신협 오목교지점(금융/양천구 목동),02-2645-8176
신목동새마을금고(금융/양천구 목동),02-2645-6606
하나은행(금융/양천구 목동),02-2652-5111
사과나무리빙텔 목동오목교점(고시원/양천구),0507-1318-0334
DB저축은행목동점(금융/양천구 신정동),02-2062-0300
예랑(금은방/양천구),02-2062-7865
한신당(금은방/양천구),02-2654-4793
티파니(금은방/양천구),02-2642-8009
현대사(금은방/양천구),02-2645-6458
벨라에로스(금은방/양천구),02-2651-2113
충금당(금은방/양천구),02-2646-8949
로얄(금은방/양천구),02-2640-0990
테디(금은방/목동로 201/양천),02-2601-4331
케이골드 목동금거래소(금은방/양천구),02-2601-5858
골드인(금은방/양천구),02-2602-1348
금석당(금은방/양천구),02-2605-1386
반석골드(금은방/양천구),02-2692-2220
한국인터넷진흥원,118/02-2100-3043
개인정보보호위원회 법령해석지원센터,02-2100-3043
현장법률(365/본청/법률상담),02-3150-0365
수방사(드론),02-524-0335/02-524-0318
서울지방항공청(드론),032-740-2146
서울지방항공청(드론/비행승인확인),032-740-2157/032-740-2351
한국교통안전공단(드론/초경량비행장치신고),054-459-7945
한국교통안전공단드론자격센터(드론/조종자증명서확인),031-645-2104
발달장애인지원센터(발달장애인),02-2135-3635
중앙장애인권익옹호기관(발달장애),02-6951-1790
서울장애인권익옹호기관(발달장애인),02-3453-9527
중앙(노인보호전문기관/학대피해노인전용쉼터),02-3667-1389
서울남부(노인보호전문기관/학대피해노인전용쉼터),02-3472-1389
서울북(노인보호전문기관/학대피해노인전용쉼터),02-921-1389
서울서(노인보호전문기관/학대피해노인전용쉼터),02-3157-6389
서울동(노인보호전문기관/학대피해노인전용쉼터),02-470-1389
인(노인보호전문기관/학대피해노인전용쉼터),032-426-8792~3
인천서(노인보호전문기관/학대피해노인전용쉼터),032-569-0533
경기(노인보호전문기관/학대피해노인전용쉼터),031-268-1389
경기동(노인보호전문기관/학대피해노인전용쉼터),031-736-1389
경기서(노인보호전문기관/학대피해노인전용쉼터),032-683-1389
경기북(노인보호전문기관/학대피해노인전용쉼터),031-821-1461
경기북서(노인보호전문기관/학대피해노인전용쉼터),031-978-1389
순찰차 고장신고,1588-4200
보호실(남부출입국사무소),02-6980-4884
여청강력팀장(양천서),02-2093-8488
여청강력팀(양천서),02-2093-8498
양천구청 당직실,02-2620-3000
총포협회,02-3273-8368
신정2지구대 웹팩스,02-2093-8054
남부지검 집행과 (점심시간),02-3219-4648
삼성화재 긴급출동(순찰차),070-4737-5312
자전거지킴이(등록),id: YCPOL4/PW: knp12345
종합조회실(서울양천경찰서),02-2093-8202
자동차병원(차량점검/신월동),02-2697-8204
에니카랜드 신정점(차량점검/남부법원 뒤),02-2645-3316
보건소(양천구 본관),02-2620-3847
보건소 별관(양천구),"02-2620-3912,4340"
서울의료원(주취자/정신질환자),경비 7-2958/02-700-2958/010-7489-2482
국립의료원(주취자/정신질환자),경비 7-2957/02-700-2957/010-3016-9783
